Title	Air Date	Season	Episode	US Viewers in Millions	IMDB Rating	Director	Writer
Bart to the Future	2000-03-19	11	17	8.77	7.0	Michael Marcantel	Dan Greaney
Beyond Blunderdome	1999-09-26	11	1	8.1	7.3	Steven Dean Moore	Mike Scully
They Saved Lisa's Brain	1999-05-09	10	22	6.8	7.3	Pete Michels	Matt Selman
Homer to the Max	1999-02-07	10	13	8.3	7.7	Pete Michels	John Swartzwelder
Take My Wife, Sleaze	1999-11-28	11	8	8.9	7.1	Neil Affleck	John Swartzwelder
Little Big Mom	2000-01-09	11	10	10.0	7.3	Mark Kirkland	Carolyn Omine
Faith Off	2000-01-16	11	11	10.4	6.9	Nancy Kruse	Frank Mula
Worst Episode Ever	2001-02-04	12	11	18.5	7.5	Matthew Nastuk	Larry Doyle
Saddlesore Galactica	2000-02-06	11	13	9.6	6.6	Lance Kramer	Tim Long
Behind the Laughter	2000-05-21	11	22	8.3	7.9	Mark Kirkland	Tim Long, George Meyer, Mike Scully & Matt Selman
The Great Money Caper	2000-12-10	12	7	16.8	7.3	Michael Polcino	Carolyn Omine
Missionary: Impossible	2000-02-20	11	15	9.8	7.3	Jim Reardon	Ian Maxtone-Graham
Days of Wine and D'oh'ses	2000-04-09	11	18	8.3	7.4	Neil Affleck	Deb Lacusta & Dan Castellaneta
Bart on the Road	1996-03-31	7	20	11.8	8.6	Swinton O. Scott III	Richard Appel
Bye, Bye, Nerdie	2001-03-11	12	16	16.1	6.5	Lauren MacMullan	John Frink & Don Payne
I'm Goin' to Praiseland	2001-05-06	12	19	13.1	7.3	Chuck Sheetz	Julie Thacker
Simpsons Tall Tales	2001-05-20	12	21	13.4	7.0	Bob Anderson	John Frink & Don Payne Bob Bendetson Matt Selman
I Am Furious (Yellow)	2002-04-28	13	18	12.4	7.7	Chuck Sheetz	John Swartzwelder
The Sweetest Apu	2002-05-05	13	19	11.8	6.9	Matthew Nastuk	John Swartzwelder
The President Wore Pearls	2003-11-16	15	3	12.7	7.0	Mike B. Anderson	Dana Gould
The Parent Rap	2001-11-11	13	2	14.9	7.1	Mark Kirkland	George Meyer & Mike Scully
Weekend at Burnsie's	2002-04-07	13	16	12.5	7.7	Michael Marcantel	Jon Vitti
Large Marge	2002-11-24	14	4	17.4	7.1	Jim Reardon	Ian Maxtone-Graham
The Bart Wants What It Wants	2002-02-17	13	11	11.2	7.1	Michael Polcino	John Frink & Don Payne
Mr. Spritz Goes to Washington	2003-03-09	14	14	14.4	6.9	Lance Kramer	John Swartzwelder
A Hunka Hunka Burns in Love	2001-12-02	13	4	13.4	7.2	Lance Kramer	John Swartzwelder
How I Spent My Strummer Vacation	2002-11-10	14	2	12.5	7.3	Mike B. Anderson	Mike Scully
She of Little Faith	2001-12-16	13	6	13.2	7.1	Steven Dean Moore	Bill Freiberger
Helter Shelter	2002-12-01	14	5	15.1	6.8	Mark Kirkland	Brian Pollack & Mert Rich
Tales from the Public Domain	2002-03-17	13	14	11.7	7.3	Mike B. Anderson	Andrew Kreisberg, Josh Lieb & Matt Warburton
The Strong Arms of the Ma	2003-02-02	14	9	15.4	6.9	Pete Michels	Carolyn Omine
Brawl in the Family	2002-01-06	13	7	11.8	6.9	Matthew Nastuk	Joel H. Cohen
Jaws Wired Shut	2002-01-27	13	9	14.2	7.3	Nancy Kruse	Matt Selman
Little Girl in the Big Ten	2002-05-12	13	20	11.2	7.2	Lauren MacMullan	Jon Vitti
Old Yeller-Belly	2003-05-04	14	19	11.59	6.8	Bob Anderson	John Frink & Don Payne
Special Edna	2003-01-05	14	7	15.0	7.1	Bob Anderson	Dennis Snee
Barting Over	2003-02-16	14	11	21.3	6.6	Matthew Nastuk	Andrew Kreisberg
Dude, Where's My Ranch?	2003-04-27	14	18	11.71	7.0	Chris Clements	Ian Maxtone-Graham
The Bart of War	2003-05-18	14	21	12.1	6.6	Michael Polcino	Marc Wilmore
